Measure,Year,Area,ANZSIC06,Value,Flags
"Geographic Units","2022","Taranaki Region","N Administrative and Support Services",333,
"Geographic Units","2022","Manawatu-Wanganui Region","N Administrative and Support Services",594,
"Geographic Units","2022","Wellington Region","N Administrative and Support Services",2226,
"Geographic Units","2022","Tasman Region","N Administrative and Support Services",195,
"Geographic Units","2022","Nelson Region","N Administrative and Support Services",219,
"Geographic Units","2022","Marlborough Region","N Administrative and Support Services",201,
"Geographic Units","2022","West Coast Region","N Administrative and Support Services",81,
"Geographic Units","2022","Canterbury Region","N Administrative and Support Services",2400,
"Geographic Units","2022","Otago Region","N Administrative and Support Services",972,
"Geographic Units","2022","Southland Region","N Administrative and Support Services",285,
"Geographic Units","2022","Area Outside Region","N Administrative and Support Services",9,
"Geographic Units","2022","Northland Region","O Public Administration and Safety",222,
"Geographic Units","2022","Auckland Region","O Public Administration and Safety",933,
"Geographic Units","2022","Waikato Region","O Public Administration and Safety",381,
"Geographic Units","2022","Bay of Plenty Region","O Public Administration and Safety",267,
"Geographic Units","2022","Gisborne Region","O Public Administration and Safety",66,
"Geographic Units","2022","Hawke's Bay Region","O Public Administration and Safety",204,
"Geographic Units","2022","Taranaki Region","O Public Administration and Safety",114,
"Geographic Units","2022","Manawatu-Wanganui Region","O Public Administration and Safety",279,
"Geographic Units","2022","Wellington Region","O Public Administration and Safety",501,
"Geographic Units","2022","Tasman Region","O Public Administration and Safety",48,
"Geographic Units","2022","Nelson Region","O Public Administration and Safety",57,
"Geographic Units","2022","Marlborough Region","O Public Administration and Safety",54,
"Geographic Units","2022","West Coast Region","O Public Administration and Safety",75,
"Geographic Units","2022","Canterbury Region","O Public Administration and Safety",504,
"Geographic Units","2022","Otago Region","O Public Administration and Safety",252,
"Geographic Units","2022","Southland Region","O Public Administration and Safety",141,
"Geographic Units","2022","Area Outside Region","O Public Administration and Safety",6,
"Geographic Units","2022","Northland Region","P Education and Training",558,
"Geographic Units","2022","Auckland Region","P Education and Training",3984,
"Geographic Units","2022","Waikato Region","P Education and Training",1272,
"Geographic Units","2022","Bay of Plenty Region","P Education and Training",891,
"Geographic Units","2022","Gisborne Region","P Education and Training",180,
"Geographic Units","2022","Hawke's Bay Region","P Education and Training",504,
"Geographic Units","2022","Taranaki Region","P Education and Training",327,
"Geographic Units","2022","Manawatu-Wanganui Region","P Education and Training",666,
"Geographic Units","2022","Wellington Region","P Education and Training",1416,
"Geographic Units","2022","Tasman Region","P Education and Training",150,
"Geographic Units","2022","Nelson Region","P Education and Training",132,
"Geographic Units","2022","Marlborough Region","P Education and Training",102,
"Geographic Units","2022","West Coast Region","P Education and Training",84,
"Geographic Units","2022","Canterbury Region","P Education and Training",1422,
"Geographic Units","2022","Otago Region","P Education and Training",549,
"Geographic Units","2022","Southland Region","P Education and Training",246,
"Geographic Units","2022","Area Outside Region","P Education and Training",6,
"Geographic Units","2022","Northland Region","Q Health Care and Social Assistance",909,
"Geographic Units","2022","Auckland Region","Q Health Care and Social Assistance",9468,
"Geographic Units","2022","Waikato Region","Q Health Care and Social Assistance",2433,
"Geographic Units","2022","Bay of Plenty Region","Q Health Care and Social Assistance",1833,
"Geographic Units","2022","Gisborne Region","Q Health Care and Social Assistance",222,
"Geographic Units","2022","Hawke's Bay Region","Q Health Care and Social Assistance",903,
"Geographic Units","2022","Taranaki Region","Q Health Care and Social Assistance",597,
"Geographic Units","2022","Manawatu-Wanganui Region","Q Health Care and Social Assistance",1065,
"Geographic Units","2022","Wellington Region","Q Health Care and Social Assistance",2835,
"Geographic Units","2022","Tasman Region","Q Health Care and Social Assistance",258,
"Geographic Units","2022","Nelson Region","Q Health Care and Social Assistance",423,
"Geographic Units","2022","Marlborough Region","Q Health Care and Social Assistance",204,
"Geographic Units","2022","West Coast Region","Q Health Care and Social Assistance",132,
"Geographic Units","2022","Canterbury Region","Q Health Care and Social Assistance",3480,
"Geographic Units","2022","Otago Region","Q Health Care and Social Assistance",1380,
"Geographic Units","2022","Southland Region","Q Health Care and Social Assistance",441,
