Number of dependent children,0,1,2,3,4
177200,837,195,174,75,45
177300,471,105,108,51,36
177400,681,114,108,36,18
177500,396,75,105,39,15
177600,546,96,93,48,9
177700,780,150,141,54,15
177800,543,96,102,48,30
177900,885,228,183,81,48
178000,834,219,141,48,30
178100,912,192,159,78,27
178200,780,195,183,96,51
178300,834,123,51,6,9
178400,354,111,81,48,39
178500,582,174,147,60,27
178600,159,48,24,33,36
178700,651,156,78,24,9
178800,618,195,132,57,48
178900,138,24,18,6,6
179000,60,18,3,0,0
179100,585,135,90,42,36
179200,108,30,36,3,3
179300,846,165,114,33,18
179400,267,18,9,0,0
179500,990,147,96,39,21
179600,816,156,123,48,27
179700,951,150,84,36,12
179800,459,69,45,12,6
179900,909,126,105,27,15
180000,381,87,72,27,24
180100,651,156,111,30,18
180200,921,225,174,63,24
180300,471,132,120,33,27
180400,345,105,111,48,24
180500,432,120,102,39,36
180600,504,126,126,51,12
180700,567,144,153,48,21
180800,468,105,87,39,15
180900,444,117,117,51,27
181000,558,117,102,39,18
181100,723,144,117,48,9
181200,573,153,138,60,15
181300,87,12,18,6,3
181400,306,60,69,39,12
181500,357,63,90,30,15
181600,270,60,69,33,12
181700,249,54,66,21,9
181800,327,54,90,42,3
181900,249,63,72,33,3
182000,159,36,24,15,3
182100,288,48,81,30,18
182200,249,42,72,18,9
182300,141,33,36,27,3
182400,99,21,21,9,3
182500,483,99,120,66,15
182600,285,87,126,45,12
182700,729,105,126,30,9
182800,687,159,144,51,15
182900,240,51,84,30,6
183000,321,72,84,27,9
183100,201,39,36,21,9
183200,366,30,21,6,0
183300,255,45,57,12,9
183400,297,81,63,27,0
183500,492,57,54,24,6
183600,492,87,81,27,15
183700,393,72,108,30,12
183800,540,138,105,39,18
183900,516,90,84,45,9
184000,447,81,78,30,15
184100,135,12,15,6,3
184200,600,96,105,42,24
184300,411,57,66,21,6
184400,492,96,69,36,18
184500,123,12,27,9,3
184600,363,63,78,42,15
184700,84,15,18,9,6
184800,510,105,114,36,15
184900,192,36,30,18,6
185000,171,27,39,18,12
185200,288,30,21,12,12
185300,318,81,72,36,15
185400,222,54,51,33,24
185500,735,114,123,51,30
185600,384,81,93,45,27
185700,240,42,54,30,18
185800,555,108,93,39,24
185900,510,105,105,54,21
186000,1155,165,132,75,39
186100,333,57,69,21,15
186200,465,60,78,33,18
186300,204,33,27,15,3
186400,486,69,72,42,33
186500,480,84,75,39,24
186600,495,108,81,51,33
186700,261,36,24,12,9
186800,603,135,141,54,48
187000,255,33,33,18,6
187100,276,45,45,18,12
187200,264,51,57,33,12
187300,588,126,87,36,39
187400,444,90,72,33,24
187500,291,42,54,30,9
187700,504,108,102,48,27
187800,396,87,84,36,15
187900,453,48,45,18,12
188000,483,81,111,24,9
188200,201,54,66,24,12
188300,459,66,66,30,6
188400,555,78,84,27,3
188500,672,90,105,36,21
188600,102,15,12,3,0
188700,348,81,69,30,21
188800,579,108,81,39,21
188900,591,138,117,45,15
189000,591,87,114,33,15
189100,660,117,144,54,15
189200,594,93,96,27,9
189300,516,120,120,42,15
189400,330,27,30,9,6
189600,159,27,24,15,6
189700,828,132,99,57,33
197800,27,9,6,3,3
201600,378,78,87,42,15
201800,339,81,78,48,21
4,70599,13359,13338,5115,2226
189800,30,6,6,3,0
190100,75,12,6,6,0
190200,801,72,72,27,6
190300,549,63,54,18,9
190400,222,27,24,12,0
190500,903,99,126,39,12
190600,1518,177,174,66,24
190800,36,3,3,3,0
190900,702,117,150,66,24
191000,972,126,126,42,12
191100,177,27,30,15,3
191200,456,87,96,30,15
191300,414,105,93,36,21
191400,387,96,108,33,12
191500,255,36,60,18,6
191600,357,87,78,30,9
191700,504,108,105,48,18
191800,429,66,78,30,12
191900,600,156,138,63,27
192000,513,96,90,48,30
192100,1152,207,204,84,36
192300,261,42,24,18,12
192400,234,30,36,9,3
192500,588,135,153,81,21
192600,765,108,177,45,6
192800,1143,93,84,24,3
192900,633,108,114,33,9
193000,942,81,132,42,15
193100,705,204,225,78,30
193200,1326,183,186,66,18
193300,888,207,210,84,18
193400,654,159,162,45,21
193500,1053,165,204,78,21
193600,600,144,150,54,21
193700,723,126,138,57,9
193800,840,90,48,12,3
193900,105,6,6,3,3
194000,669,120,117,36,12
194100,354,93,96,36,12
194200,198,48,48,30,6
194300,705,132,147,54,15
194400,549,87,57,27,15
194500,24,9,9,3,0
194600,825,216,132,63,42
194700,177,33,30,9,3
194800,1395,216,174,60,18
194900,867,135,126,42,18
195000,96,27,33,9,3
195100,687,192,228,63,15
195200,1008,156,162,39,18
195300,426,120,93,54,45
195400,1092,192,237,72,33
195500,588,144,141,51,12
195600,240,72,96,30,9
195700,156,33,39,12,9
195800,1083,129,99,27,15
195900,741,120,132,30,21
196000,804,153,129,57,27
196100,111,27,30,9,6
196200,1278,141,168,48,18
196300,315,54,78,21,12
196400,837,144,159,51,15
196500,87,24,21,12,6
196600,495,135,177,51,21
196700,504,117,126,48,27
196800,639,147,177,66,15
196900,591,192,210,63,21
197000,600,168,183,72,21
197100,1059,129,150,60,15
197200,528,171,159,57,18
197300,582,171,207,60,15
197400,624,126,153,54,12
197500,621,150,228,75,24
197600,726,159,213,72,24
197700,357,72,72,30,6
197900,336,63,72,21,15
198000,279,48,36,18,0
198100,384,90,75,27,18
198200,345,66,66,33,12
198400,381,60,60,12,9
198500,186,54,42,18,18
198600,330,93,75,54,24
198700,426,78,51,30,6
198800,405,102,69,33,18
198900,336,105,66,33,21
199000,327,108,93,45,39
199100,390,120,129,66,36
199200,594,126,129,39,18
199300,21,6,0,0,0
199400,342,87,72,48,30
199500,357,111,87,45,24
199600,411,90,108,33,24
199700,336,129,87,27,36
199800,240,42,30,6,9
199900,303,81,69,27,9
200000,378,69,72,36,12
200100,144,21,3,0,0
200200,270,93,105,45,18
200300,612,99,57,15,6
200400,210,39,54,24,9
200500,768,117,78,33,18
200600,447,90,114,24,18
200700,411,66,69,33,9
200800,576,93,78,24,9
200900,567,138,147,75,39
201000,282,63,45,27,9
201100,66,12,9,3,3
201200,501,66,48,21,3
201300,201,33,27,6,3
201400,636,117,132,57,36
201500,717,165,192,54,15
201700,438,66,87,30,12
201900,258,39,39,12,3
202000,396,75,69,30,15
202100,252,51,57,21,3
202200,330,69,75,42,12
202300,471,99,87,45,18
202400,231,69,78,24,24
202500,333,90,81,39,18
202600,588,159,153,66,39
202700,924,132,135,42,21
202800,825,168,117,57,30
202900,768,102,90,48,18
203000,381,66,66,12,9
203100,213,66,60,27,24
203200,981,114,132,42,15
203400,282,60,48,33,21
203500,342,69,60,51,42
203600,282,72,60,33,30
203700,777,138,105,60,36
203800,24,0,0,0,0
203900,804,156,120,72,54
204100,405,63,39,15,9
204200,330,60,21,18,15
204300,276,39,42,21,9
204400,684,150,120,75,51
204500,279,39,36,18,9
204600,54,12,0,6,6
258900,12,..,..,..,..
5,9990,2034,1956,966,513
204700,264,63,39,24,30
204800,387,99,78,33,12
204900,213,60,45,27,21
205000,216,39,27,21,9
205100,321,66,48,42,9
205200,378,75,75,42,21
205300,249,57,45,18,12
205400,663,105,132,69,30
205500,441,21,42,9,6
205600,228,48,33,18,6
205700,318,54,57,18,12
205800,462,102,75,36,24
205900,279,60,78,30,18
206000,513,102,72,54,39
206100,471,90,96,42,24
206200,282,60,63,24,3
206300,363,69,87,54,18
206400,516,99,72,33,18
206500,315,66,75,27,12
206600,450,72,90,45,9
206700,534,90,105,36,15
206800,108,9,3,3,0
206900,459,99,93,42,18
207000,525,132,111,75,42
207100,306,120,111,60,48
207200,366,93,96,48,51
207300,357,78,111,36,9
6,39204,7053,7107,2886,1317
189900,12,6,3,0,0
207400,225,48,39,30,15
207600,195,42,30,21,9
207700,174,27,15,12,6
207800,987,168,162,78,63
207900,282,48,33,18,6
208000,423,75,105,27,9
208100,297,54,72,21,9
208200,279,48,90,39,6
208300,582,111,114,45,15
208400,270,39,57,18,9
208500,132,24,27,12,9
208600,177,27,33,12,6
