sa2,ethnicity,age,fully_imms,partial_imms
104100,Pacific,5-12,1.0,0.0
104200,Asian,1-4,1.0,0.0
104200,Maori,1-4,0.5,0.0
104200,Others,1-4,0.5,0.0
104200,Pacific,1-4,0.0,0.0
104200,Asian,13-17,1.0,0.0
104200,Maori,13-17,0.75,0.0
104200,Others,13-17,0.5333333333333333,0.0
104200,Maori,5-12,0.7647058823529411,0.11764705882352941
104200,Others,5-12,0.9473684210526315,0.05263157894736842
104200,Pacific,5-12,0.0,0.0
104300,Asian,1-4,1.0,0.0
104300,Maori,1-4,0.9,0.1
104300,Others,1-4,0.7241379310344828,0.06896551724137931
104300,Maori,13-17,0.8125,0.125
104300,Others,13-17,0.5833333333333334,0.020833333333333332
104300,Pacific,13-17,1.0,0.0
104300,Unknown,13-17,0.0,0.0
104300,Asian,5-12,1.0,0.0
104300,Maori,5-12,0.5555555555555556,0.07407407407407407
104300,Others,5-12,0.7727272727272727,0.0
104300,Pacific,5-12,0.5,0.5
104400,Maori,1-4,0.34615384615384615,0.07692307692307693
104400,Others,1-4,1.0,0.0
104400,Pacific,1-4,0.5,0.0
104400,Maori,13-17,0.8333333333333334,0.08333333333333333
104400,Others,13-17,0.625,0.25
104400,Pacific,13-17,1.0,0.0
104400,Maori,5-12,0.7162162162162162,0.10810810810810811
104400,Others,5-12,1.0,0.0
104400,Pacific,5-12,1.0,0.0
104500,Maori,1-4,0.6258503401360545,0.12244897959183673
104500,Others,1-4,0.6666666666666666,0.0
104500,Pacific,1-4,1.0,0.0
104500,Maori,13-17,0.8914285714285715,0.045714285714285714
104500,Others,13-17,0.875,0.125
104500,Pacific,13-17,0.8,0.0
104500,Asian,5-12,1.0,0.0
104500,Maori,5-12,0.8253968253968254,0.07142857142857142
104500,Others,5-12,0.7142857142857143,0.0
104500,Pacific,5-12,0.75,0.25
104600,Asian,1-4,0.5714285714285714,0.14285714285714285
104600,Maori,1-4,0.475,0.2
104600,Others,1-4,0.5555555555555556,0.3333333333333333
104600,Pacific,1-4,0.42857142857142855,0.14285714285714285
104600,Unknown,1-4,1.0,0.0
104600,Asian,13-17,0.75,0.0
104600,Maori,13-17,0.8333333333333334,0.09649122807017543
104600,Others,13-17,1.0,0.0
104600,Pacific,13-17,0.25,0.0
104600,Unknown,13-17,0.0,0.0
104600,Asian,5-12,0.75,0.125
104600,Maori,5-12,0.8057142857142857,0.08
104600,Others,5-12,0.9354838709677419,0.0
104600,Pacific,5-12,0.75,0.0
104700,Maori,1-4,0.46875,0.0625
104700,Others,1-4,0.47619047619047616,0.09523809523809523
104700,Pacific,1-4,0.3333333333333333,0.0
104700,Maori,13-17,0.7872340425531915,0.10638297872340426
104700,Others,13-17,0.76,0.04
104700,Pacific,13-17,1.0,0.0
104700,Asian,5-12,0.6666666666666666,0.3333333333333333
104700,Maori,5-12,0.7555555555555555,0.07777777777777778
104700,Others,5-12,0.6888888888888889,0.044444444444444446
104700,Pacific,5-12,0.5,0.0
104800,Asian,1-4,0.6666666666666666,0.0
104800,Maori,1-4,0.6721311475409836,0.08196721311475409
104800,Others,1-4,0.5476190476190477,0.11904761904761904
104800,Pacific,1-4,0.6666666666666666,0.3333333333333333
104800,Maori,13-17,0.9292929292929293,0.04040404040404041
104800,Others,13-17,0.8375,0.0375
104800,Pacific,13-17,0.5,0.5
104800,Asian,5-12,0.0,0.0
104800,Maori,5-12,0.8561151079136691,0.07194244604316546
104800,Others,5-12,0.9043478260869565,0.05217391304347826
104800,Pacific,5-12,0.5,0.5
104900,Asian,1-4,1.0,0.0
104900,Maori,1-4,0.6363636363636364,0.10606060606060606
104900,Others,1-4,0.7575757575757576,0.045454545454545456
104900,Pacific,1-4,1.0,0.0
104900,Asian,13-17,1.0,0.0
104900,Maori,13-17,0.825,0.0625
104900,Others,13-17,0.7835051546391752,0.05154639175257732
104900,Pacific,13-17,1.0,0.0
104900,Asian,5-12,1.0,0.0
104900,Maori,5-12,0.834319526627219,0.0650887573964497
104900,Others,5-12,0.7461538461538462,0.038461538461538464
104900,Pacific,5-12,0.8181818181818182,0.18181818181818182
105100,Asian,1-4,0.8461538461538461,0.07692307692307693
